Country,Total,PerCapita,Population,Total-Z,PerCapita-Z,Combined-Z_Total_PerCapita,MDI,Year
ALB,37,1.2806738698226163e-05,2889104,-0.3030378636834062,-0.8838111406277062,-1.1868490043111124,3,2014
AUS,1134,4.830529765988521e-05,23475686,-0.11444797708889032,0.1416061989910116,0.027158221902121277,17,2014
BEL,353,3.149239048387389e-05,11209057,-0.24871297383484917,-0.34405426306612885,-0.592767236900978,10,2014
BGR,353,4.8865314181821605e-05,7223938,-0.24871297383484917,0.15778293035317129,-0.09093004348167788,16,2014
CAN,1279,3.6091776958462144e-05,35437435,-0.08952041687357146,-0.21119561244471835,-0.3007160293182898,13,2014
CZE,311,2.9547719424357222e-05,10525347,-0.2559333705868726,-0.4002283580888835,-0.6561617286757562,9,2014
DEU,2740,3.3834470410273826e-05,80982500,0.16164624157181381,-0.27640054873092634,-0.11475430715911253,15,2014
DNK,379,6.715720367326869e-05,5643475,-0.24424320441692993,0.6861655241136093,0.4419223196966794,22,2014
ESP,1021,2.1966020352195555e-05,46480882,-0.13387428263600087,-0.6192345915746603,-0.7531088742106612,8,2014
EST,27,2.053942618928983e-05,1314545,-0.30475700576722126,-0.6604434303002651,-0.9652004360674864,6,2014
FRA,6787,0.00010234939592517905,66312067,0.8573830428917824,1.7027331034702966,2.5601161463620787,46,2014
GBR,1517,2.3482136811913408e-05,64602298,-0.04860483527877221,-0.5754397967393218,-0.624044632018094,9,2014
GRC,186,1.7076106093296316e-05,10892413,-0.27742264663456123,-0.7604854765962125,-1.0379081232307736,5,2014
HRV,198,4.671586303192085e-05,4238389,-0.27535967613398316,0.09569352322675273,-0.17966615290723043,15,2014
HUN,589,5.969714795608722e-05,9866468,-0.20814122065681295,0.47067310102168014,0.2625318803648672,20,2014
ITA,3459,5.6901611044341146e-05,60789140,0.2852525573981191,0.3899207520053522,0.6751733094034713,24,2014
JPN,271,2.1292309626323895e-06,127276000,-0.26280993892213295,-1.1922434234089998,-1.4550533623311328,0,2014
KOR,346,6.818182848254109e-06,50746659,-0.24991637329351973,-1.0567975712732125,-1.3067139445667322,2,2014
LTU,92,3.137397194825886e-05,2932367,-0.2935825822224231,-0.3474749207858706,-0.6410575030082937,9,2014
LUX,27,4.853330553153856e-05,556319,-0.30475700576722126,0.1481924726877953,-0.15656453307942594,15,2014
LVA,64,3.209979827283023e-05,1993782,-0.2983961800571054,-0.32650857960083624,-0.6249047596579416,9,2014
MKD,188,9.093235165088167e-05,2067471,-0.27707881821779823,1.3729384439545744,1.095859625736776,29,2014
MNE,29,4.66380405590132e-05,621810,-0.30441317735045825,0.09344553019645246,-0.2109676471540058,14,2014
NLD,625,3.7058980345577066e-05,16865008,-0.2019523091550786,-0.18325681286818352,-0.38520912202326213,12,2014
NOR,116,2.258025333486983e-05,5137232,-0.2894566412212669,-0.6014917544166731,-0.89094839563794,6,2014
NZL,39,8.635004981733643e-06,4516500,-0.3026940352666431,-1.0043165418126883,-1.3070105770793314,2,2014
POL,693,1.8231212019130407e-05,38011735,-0.19026214298513597,-0.7271188927096408,-0.9173810356947768,6,2014
PRT,285,2.740104808528206e-05,10401062,-0.2604031400047918,-0.4622374671326532,-0.7226406071374449,8,2014
ROU,486,2.441109611899234e-05,19908979,-0.22584838412010844,-0.5486057220855374,-0.7744541062056458,8,2014
SVK,479,8.83984181296851e-05,5418649,-0.227051783578779,1.2997428144395151,1.072691030860736,29,2014
SVN,351,0.00017022473544845245,2061980,-0.2490568022516122,3.6633915672362685,3.4143347649846563,55,2014
TUR,1050,1.3595882866263826e-05,77229262,-0.1288887705929371,-0.8610157895758844,-0.9899045601688216,5,2014
USA,33880,0.00010641160412386928,318386329,5.5150546905720175,1.8200747321425268,7.3351294227145445,100,2014
ALB,62,2.1522524189407932e-05,2880703,-0.4199541460372098,-0.5953504248574184,-1.0153045708946282,8,2015
AUS,1487,6.243703023955119e-05,23815995,0.12094817435171906,0.7989869770175045,0.9199351513692235,36,2015
BEL,171,1.5167378676049272e-05,11274196,-0.37857986328465315,-0.8119292849999219,-1.190509148284575,6,2015
BGR,158,2.2011730023066344e-05,7177991,-0.383514410768903,-0.5786786363663304,-0.9621930471352335,9,2015
CAN,1532,4.290966999102706e-05,35702908,0.13802930025873786,0.133508363612432,0.27153766387116984,27,2015
CZE,334,3.1670598467162e-05,10546059,-0.31670822944367394,-0.24951123752528162,-0.5662194669689555,15,2015
DEU,2185,2.6748569603407835e-05,81686611,0.3858954161983663,-0.41725049678529474,-0.03135508058692843,22,2015
DNK,257,4.5218750544340504e-05,5683483,-0.34593593377346166,0.212200194218455,-0.13373573955500664,21,2015
ESP,1108,2.385626026163686e-05,46444832,-0.02291286384295044,-0.515818351620961,-0.5387312154639115,15,2015
EST,72,5.473591063450324e-05,1315407,-0.4161583402800945,0.5365382726760526,0.12037993239595807,24,2015
FRA,5426,8.153479928073865e-05,66548272,1.6161160620794321,1.4498254261939774,3.0659414882734097,66,2015
